2021-5-03,"RT @UN_Women: Dear journalists,\n\nThank you for working on the frontlines of the #COVID19 pandemic, in conflict zones, and in your local com\u2026",0.0
2021-5-03,Watch the session on \,0.0
2021-5-03,RT @Thalaivaa_Tarak: Vizag Naval Dockyard Is Opening Care Centre With 200+ Oxygen Beds From May 3rd (Today)\n\nIf Anyone Looking For Beds In\u2026,0.0
2021-5-03,RT @jordan_posts: Hon. Minister @JudithNabakoob1 ; Reintroduction of COVID19 restrictions should tell us that the situation is serious. And\u2026,-0.3333333333333333
2021-5-03,"RT @ReporterClaudia: Wow, no #COVID19 deaths reported today in LA County. There are reporting delays over the weekend but can\u2019t remember th\u2026",0.1
2021-5-03,"RT @LawrenceSellin: The two mutations, P681H (proline to histidine) and now the more dangerous Indian P681R (proline to arginine) point to\u2026",-0.04999999999999999
2021-5-03,RT @kylegarret: @GMichaelDeacon @YNB The CDC literally says that vaccinated people should still take these precautions:\n\nhttps:\/\/t.co\/KUqkM\u2026,0.0
2021-5-03,"@thesatbir And trees are just simple saviours. Save trees, mountains and keep places clean around. It\u2019s not that difficult",-0.04444444444444443
2021-5-03,@rautsanjay61 No article in Saamna how @BJP4Maharashtra led by @Dev_Fadnavis Ji trashed @ShivSena alliance in\u2026 https:\/\/t.co\/XGDst0HBTK,0.0
2021-5-03,RT @Manpree73255461: Great initiative has been started by @derasachasauda with the pious inspiration and guidance of True Saint Dr. @Gurmee\u2026,0.3833333333333333
2021-5-03,This is my flight ticket &amp; covid negative report but the vistara employees not allow fly to odisha @UPGovt\u2026 https:\/\/t.co\/P9spzHYXoB,0.25
2021-5-03,RT @DisasterBeautee: First @ScottMorrisonMP ignores #corruption. Then #abuse and #RAPE. Now he\u2019s ignoring #Australian citizenship and peopl\u2026,0.125
2021-5-03,RT @FujiyamaOden: You say this but at the same time allow elites to have parties and close contacts with each other. BE CONSISTENT,0.041666666666666664
2021-5-03,RT @Abramjee: Why are passengers from India still able to fly to South Africa? #Covid19 @GovernmentZA should have acted long ago! @DIRCO_ZA\u2026,0.41250000000000003
2021-5-03,RT @BloodDonorsIn: #Delhi\nNeed #Blood Type :  A-positive\nAt : Agrasen International \nBlood Component : Need Plasma from A+ve\/AB+ve #Covid19\u2026,0.0
